context,utterance,naturalness,cost,l0_p_try,l1_p_try,observed_p_try,l1_error
high,managed,0.6075223214285714,0.4983663613501458,1.0,1.0,0.8596130952380953,0.14038690476190474
high,didnt_manage,0.5267224702380953,0.6410814910939083,1.0,1.0,0.522875,0.477125
high,failed,0.36511458333333335,1.0075440477237583,1.0,1.0,0.4888958333333333,0.5111041666666667
high,didnt_fail,0.23021394230769232,1.4687462184654494,1.0,1.0,0.7699615384615385,0.23003846153846153
high,did,0.6296770833333333,0.4625481571410527,0.9890191270130927,0.9937863550741977,0.8363020833333333,0.15748427174086432
high,didnt,0.6700186011904762,0.4004498040116495,0.23591105967828996,0.08615243601713704,0.37845684523809525,-0.29230440922095824
high,tried,0.5535,0.5914935268334455,0.9999999999999999,1.0,0.7605,0.23950000000000005
high,didnt_try,0.5892142857142857,0.528965348736664,0.0,0.0,0.254,-0.254
low,managed,0.6075223214285714,0.4983663613501458,1.0,1.0,0.6174999999999999,0.38250000000000006
low,didnt_manage,0.5267224702380953,0.6410814910939083,1.0,1.0,0.19490476190476191,0.8050952380952381
low,failed,0.36511458333333335,1.0075440477237583,1.0,1.0,0.158,0.842
low,didnt_fail,0.23021394230769232,1.4687462184654494,1.0,1.0,0.5681666666666667,0.4318333333333333
low,did,0.6296770833333333,0.4625481571410527,0.8184356616761604,0.6134832588551747,0.5441666666666667,0.06931659218850805
low,didnt,0.6700186011904762,0.4004498040116495,0.015217071113286218,0.00031130562153246504,0.11975,-0.11943869437846753
low,tried,0.5535,0.5914935268334455,1.0,1.0,0.5361666666666667,0.4638333333333333
low,didnt_try,0.5892142857142857,0.528965348736664,0.0,0.0,0.11489285714285714,-0.11489285714285714
