section,item,prior,qud,utterance_id,rating_order,n,naturalness_mean
overall,all,all,all,all,all,961,0.5215
by_item,package,all,all,all,all,481,0.4988
by_item,photo,all,all,all,all,480,0.5442
by_utterance,all,all,all,did,all,122,0.6297
by_utterance,all,all,all,didnt,all,119,0.67
by_utterance,all,all,all,didnt_fail,all,120,0.2302
by_utterance,all,all,all,didnt_manage,all,121,0.5267
by_utterance,all,all,all,didnt_try,all,118,0.5892
by_utterance,all,all,all,failed,all,121,0.3651
by_utterance,all,all,all,managed,all,120,0.6075
by_utterance,all,all,all,tried,all,120,0.5535
by_item_utterance,package,all,all,did,all,61,0.6559
by_item_utterance,package,all,all,didnt,all,58,0.6774
by_item_utterance,package,all,all,didnt_fail,all,61,0.1985
by_item_utterance,package,all,all,didnt_manage,all,61,0.4906
by_item_utterance,package,all,all,didnt_try,all,60,0.549
by_item_utterance,package,all,all,failed,all,60,0.3335
by_item_utterance,package,all,all,managed,all,60,0.5731
by_item_utterance,package,all,all,tried,all,60,0.512
by_item_utterance,photo,all,all,did,all,61,0.6035
by_item_utterance,photo,all,all,didnt,all,61,0.6627
by_item_utterance,photo,all,all,didnt_fail,all,59,0.2619
by_item_utterance,photo,all,all,didnt_manage,all,60,0.5628
by_item_utterance,photo,all,all,didnt_try,all,58,0.6294
by_item_utterance,photo,all,all,failed,all,61,0.3967
by_item_utterance,photo,all,all,managed,all,60,0.6419
by_item_utterance,photo,all,all,tried,all,60,0.595
by_prior_utterance,all,high,all,did,all,62,0.7135
by_prior_utterance,all,high,all,didnt,all,60,0.6715
by_prior_utterance,all,high,all,didnt_fail,all,60,0.2431
by_prior_utterance,all,high,all,didnt_manage,all,62,0.558
by_prior_utterance,all,high,all,didnt_try,all,60,0.505
by_prior_utterance,all,high,all,failed,all,61,0.4257
by_prior_utterance,all,high,all,managed,all,61,0.6969
by_prior_utterance,all,high,all,tried,all,60,0.5342
by_prior_utterance,all,low,all,did,all,60,0.5458
by_prior_utterance,all,low,all,didnt,all,59,0.6685
by_prior_utterance,all,low,all,didnt_fail,all,60,0.2173
by_prior_utterance,all,low,all,didnt_manage,all,59,0.4955
by_prior_utterance,all,low,all,didnt_try,all,58,0.6734
by_prior_utterance,all,low,all,failed,all,60,0.3045
by_prior_utterance,all,low,all,managed,all,59,0.5181
by_prior_utterance,all,low,all,tried,all,60,0.5728
by_qud_utterance,all,all,P?,did,all,62,0.6275
by_qud_utterance,all,all,P?,didnt,all,60,0.7365
by_qud_utterance,all,all,P?,didnt_fail,all,62,0.2145
by_qud_utterance,all,all,P?,didnt_manage,all,61,0.5474
by_qud_utterance,all,all,P?,didnt_try,all,59,0.5714
by_qud_utterance,all,all,P?,failed,all,61,0.3524
by_qud_utterance,all,all,P?,managed,all,61,0.6235
by_qud_utterance,all,all,P?,tried,all,60,0.5543
by_qud_utterance,all,all,TRY?,did,all,60,0.6318
by_qud_utterance,all,all,TRY?,didnt,all,59,0.6035
by_qud_utterance,all,all,TRY?,didnt_fail,all,58,0.2459
by_qud_utterance,all,all,TRY?,didnt_manage,all,60,0.506
by_qud_utterance,all,all,TRY?,didnt_try,all,59,0.607
by_qud_utterance,all,all,TRY?,failed,all,60,0.3778
by_qud_utterance,all,all,TRY?,managed,all,59,0.5916
by_qud_utterance,all,all,TRY?,tried,all,60,0.5527
by_rating_order_utterance,all,all,all,did,P?|TRY?|NAT,61,0.6383
by_rating_order_utterance,all,all,all,didnt,P?|TRY?|NAT,62,0.6649
by_rating_order_utterance,all,all,all,didnt_fail,P?|TRY?|NAT,60,0.2253
by_rating_order_utterance,all,all,all,didnt_manage,P?|TRY?|NAT,61,0.497
by_rating_order_utterance,all,all,all,didnt_try,P?|TRY?|NAT,61,0.564
by_rating_order_utterance,all,all,all,failed,P?|TRY?|NAT,64,0.3861
by_rating_order_utterance,all,all,all,managed,P?|TRY?|NAT,60,0.6752
by_rating_order_utterance,all,all,all,tried,P?|TRY?|NAT,55,0.5808
by_rating_order_utterance,all,all,all,did,TRY?|P?|NAT,61,0.6138
by_rating_order_utterance,all,all,all,didnt,TRY?|P?|NAT,57,0.671
by_rating_order_utterance,all,all,all,didnt_fail,TRY?|P?|NAT,60,0.2346
by_rating_order_utterance,all,all,all,didnt_manage,TRY?|P?|NAT,60,0.5907
by_rating_order_utterance,all,all,all,didnt_try,TRY?|P?|NAT,57,0.6211
by_rating_order_utterance,all,all,all,failed,TRY?|P?|NAT,57,0.3657
by_rating_order_utterance,all,all,all,managed,TRY?|P?|NAT,60,0.5335
by_rating_order_utterance,all,all,all,tried,TRY?|P?|NAT,65,0.5541
