source_file,participant_uuid,study_version,collection_mode,prolific_pid,prolific_study_id,prolific_session_id,assignment_source,condition_id,item,prior,consent_given,consent_rt_ms,instructions_rt_ms,rating_rt_ms,completion_rating,completion_rating_01,try_rating,try_rating_01,question_order,demographics_rt_ms,age,gender,education,native_language,country,screening_reasons,screening_status
record_000022.json,U000296,norming-1.0.0-main,main,P001105,S000003,T000492,datapipe-sequential,3,package,low,True,24711,5245,34819,7,0.07,29,0.29,completion|try,22784,33,woman,associate,english-only,united-states,,include
record_000049.json,U000581,norming-1.0.0-main,main,P000184,S000003,T000044,datapipe-sequential,3,package,low,True,8882,55527,35806,0,0.0,0,0.0,try|completion,13527,35,man,bachelor,english-only,united-states,,include
record_000069.json,U000314,norming-1.0.0-main,main,P000090,S000003,T000236,datapipe-sequential,1,photo,low,True,9995,7531,27572,61,0.61,64,0.64,completion|try,20241,42,man,bachelor,english-only,united-states,,include
record_000082.json,U000943,norming-1.0.0-main,main,P000854,S000003,T000089,datapipe-sequential,0,photo,high,True,11883,6135,22901,77,0.77,79,0.79,try|completion,20149,36,man,associate,english-only,united-states,,include
record_000143.json,U000842,norming-1.0.0-main,main,P000487,S000003,T001207,datapipe-sequential,0,photo,high,True,4494,4960,12366,100,1.0,100,1.0,completion|try,14901,24,woman,bachelor,english-only,united-states,,include
record_000162.json,U000527,norming-1.0.0-main,main,P000651,S000003,T000651,datapipe-sequential,3,package,low,True,47703,10616,77395,0,0.0,7,0.07,completion|try,15890,35,man,high-school,english-only,united-states,,include
record_000183.json,U000611,norming-1.0.0-main,main,P000691,S000003,T001114,datapipe-sequential,1,photo,low,True,25327,4983,35390,0,0.0,0,0.0,completion|try,18319,28,man,associate,english-only,new-zealand,,include
record_000192.json,U000353,norming-1.0.0-main,main,P000456,S000003,T000913,datapipe-sequential,0,photo,high,True,5861,2176,23801,85,0.85,87,0.87,completion|try,18023,29,woman,bachelor,english-only,united-kingdom,,include
record_000200.json,U000771,norming-1.0.0-main,main,P000906,S000003,T000412,datapipe-sequential,2,package,high,True,2638,1736,15519,88,0.88,100,1.0,completion|try,18077,45,woman,some-college,english-only,united-states,,include
record_000208.json,U000984,norming-1.0.0-main,main,P001260,S000003,T000999,datapipe-sequential,1,photo,low,True,29508,11686,82007,36,0.36,46,0.46,try|completion,33895,33,woman,master,english-only,united-kingdom,,include
