section,question_order,question_order_raw,condition_id,item,prior,n,try_mean,try_sd,try_se,completion_mean,completion_sd,completion_se,try_minus_completion_mean,try_minus_completion_sd,try_minus_completion_se,participant_mean_mean,participant_mean_sd,participant_mean_se
overall_by_question_order_and_prior,do-try,completion|try,,all,high,27,0.8148,0.2892,0.0556,0.8032,0.2763,0.0533,0.0117,0.1102,0.0213,0.809,0.2774,0.0534
overall_by_question_order_and_prior,do-try,completion|try,,all,low,27,0.2308,0.2629,0.0509,0.2103,0.2609,0.0507,0.0204,0.196,0.0398,0.2205,0.2429,0.0467
overall_by_question_order_and_prior,try-do,try|completion,,all,high,23,0.8686,0.1726,0.0348,0.7986,0.2205,0.0455,0.07,0.1533,0.0319,0.8336,0.1826,0.0372
overall_by_question_order_and_prior,try-do,try|completion,,all,low,22,0.1772,0.2191,0.0463,0.2694,0.2719,0.0568,-0.0922,0.2592,0.0543,0.2233,0.2101,0.0441
condition_by_question_order,do-try,completion|try,0,photo,high,13,0.8054,0.2853,0.0791,0.7885,0.2926,0.0812,0.0169,0.124,0.0344,0.7969,0.2822,0.0783
condition_by_question_order,do-try,completion|try,1,photo,low,15,0.234,0.2637,0.0681,0.2073,0.2546,0.0657,0.0267,0.062,0.016,0.2207,0.2573,0.0664
condition_by_question_order,do-try,completion|try,2,package,high,14,0.8243,0.2928,0.0783,0.8179,0.2582,0.069,0.0064,0.0941,0.0252,0.8211,0.272,0.0727
condition_by_question_order,do-try,completion|try,3,package,low,12,0.2275,0.2621,0.0757,0.2133,0.267,0.0771,0.0142,0.27,0.078,0.2204,0.2276,0.0657
condition_by_question_order,try-do,try|completion,0,photo,high,12,0.83,0.2018,0.0583,0.7708,0.2385,0.0688,0.0592,0.1583,0.0457,0.8004,0.2062,0.0595
condition_by_question_order,try-do,try|completion,1,photo,low,10,0.176,0.1842,0.0582,0.233,0.2178,0.0689,-0.057,0.2185,0.0691,0.2045,0.1695,0.0536
condition_by_question_order,try-do,try|completion,2,package,high,11,0.9073,0.1261,0.038,0.8264,0.197,0.0594,0.0809,0.1473,0.0444,0.8668,0.1481,0.0447
condition_by_question_order,try-do,try|completion,3,package,low,12,0.1783,0.2491,0.0719,0.3058,0.3126,0.0902,-0.1275,0.2901,0.0837,0.2421,0.2426,0.07
