section,item,prior,condition_id,measure,n,mean,sd,se
scenario_overall,package,all,,try_rating,49,0.5319,0.4089,0.0347
scenario_overall,package,all,,completion_rating,49,0.5406,0.383,0.0373
scenario_overall,package,all,,try_minus_completion,49,-0.0087,0.2238,0.0315
scenario_overall,package,all,,participant_mean_rating,49,0.5362,0.38,0.0324
scenario_overall,photo,all,,try_rating,50,0.514,0.3857,0.0337
scenario_overall,photo,all,,completion_rating,50,0.4988,0.3761,0.0353
scenario_overall,photo,all,,try_minus_completion,50,0.0152,0.1458,0.0204
scenario_overall,photo,all,,participant_mean_rating,50,0.5064,0.3739,0.033
scenario_by_prior,package,high,,try_rating,25,0.8608,0.2342,0.0468
scenario_by_prior,package,high,,completion_rating,25,0.8216,0.2287,0.0457
scenario_by_prior,package,high,,try_minus_completion,25,0.0392,0.1236,0.0247
scenario_by_prior,package,high,,participant_mean_rating,25,0.8412,0.2231,0.0446
scenario_by_prior,package,low,,try_rating,24,0.2029,0.2514,0.0513
scenario_by_prior,package,low,,completion_rating,24,0.2596,0.2882,0.0588
scenario_by_prior,package,low,,try_minus_completion,24,-0.0567,0.2835,0.0579
scenario_by_prior,package,low,,participant_mean_rating,24,0.2313,0.2303,0.047
scenario_by_prior,photo,high,,try_rating,25,0.8172,0.244,0.0488
scenario_by_prior,photo,high,,completion_rating,25,0.78,0.2626,0.0525
scenario_by_prior,photo,high,,try_minus_completion,25,0.0372,0.1401,0.028
scenario_by_prior,photo,high,,participant_mean_rating,25,0.7986,0.2436,0.0487
scenario_by_prior,photo,low,,try_rating,25,0.2108,0.2326,0.0465
scenario_by_prior,photo,low,,completion_rating,25,0.2176,0.2362,0.0472
scenario_by_prior,photo,low,,try_minus_completion,25,-0.0068,0.148,0.0296
scenario_by_prior,photo,low,,participant_mean_rating,25,0.2142,0.2224,0.0445
overall_by_prior,all,high,,try_rating,50,0.839,0.2401,0.0338
overall_by_prior,all,high,,completion_rating,50,0.8008,0.2471,0.0348
overall_by_prior,all,high,,try_minus_completion,50,0.0382,0.1321,0.0187
overall_by_prior,all,high,,participant_mean_rating,50,0.8199,0.2345,0.033
overall_by_prior,all,low,,try_rating,49,0.2069,0.2422,0.0346
overall_by_prior,all,low,,completion_rating,49,0.2386,0.2643,0.0377
overall_by_prior,all,low,,try_minus_completion,49,-0.0317,0.2275,0.0325
overall_by_prior,all,low,,participant_mean_rating,49,0.2227,0.2265,0.0324
condition,photo,high,0,try_rating,25,0.8172,0.244,0.0488
condition,photo,high,0,completion_rating,25,0.78,0.2626,0.0525
condition,photo,high,0,try_minus_completion,25,0.0372,0.1401,0.028
condition,photo,high,0,participant_mean_rating,25,0.7986,0.2436,0.0487
condition,photo,low,1,try_rating,25,0.2108,0.2326,0.0465
condition,photo,low,1,completion_rating,25,0.2176,0.2362,0.0472
condition,photo,low,1,try_minus_completion,25,-0.0068,0.148,0.0296
condition,photo,low,1,participant_mean_rating,25,0.2142,0.2224,0.0445
condition,package,high,2,try_rating,25,0.8608,0.2342,0.0468
condition,package,high,2,completion_rating,25,0.8216,0.2287,0.0457
condition,package,high,2,try_minus_completion,25,0.0392,0.1236,0.0247
condition,package,high,2,participant_mean_rating,25,0.8412,0.2231,0.0446
condition,package,low,3,try_rating,24,0.2029,0.2514,0.0513
condition,package,low,3,completion_rating,24,0.2596,0.2882,0.0588
condition,package,low,3,try_minus_completion,24,-0.0567,0.2835,0.0579
condition,package,low,3,participant_mean_rating,24,0.2313,0.2303,0.047
grand_total,all,all,,try_rating,99,0.5229,0.3976,0.0242
grand_total,all,all,,completion_rating,99,0.5197,0.3801,0.0257
grand_total,all,all,,try_minus_completion,99,0.0032,0.1893,0.0187
grand_total,all,all,,participant_mean_rating,99,0.5213,0.3772,0.0231
