"utterance","prior","qud","rating_order","item","Freq"
"didnt_manage","low","TRY?","TRY?|P?|NAT","package",5
"didnt_fail","low","TRY?","TRY?|P?|NAT","package",5
"didnt_manage","high","TRY?","TRY?|P?|NAT","package",7
"didnt_fail","high","TRY?","TRY?|P?|NAT","package",5
"didnt_manage","low","P?","TRY?|P?|NAT","package",9
"didnt_fail","low","P?","TRY?|P?|NAT","package",11
"didnt_manage","high","P?","TRY?|P?|NAT","package",6
"didnt_fail","high","P?","TRY?|P?|NAT","package",9
"didnt_manage","low","TRY?","P?|TRY?|NAT","package",10
"didnt_fail","low","TRY?","P?|TRY?|NAT","package",10
"didnt_manage","high","TRY?","P?|TRY?|NAT","package",8
"didnt_fail","high","TRY?","P?|TRY?|NAT","package",10
"didnt_manage","low","P?","P?|TRY?|NAT","package",6
"didnt_fail","low","P?","P?|TRY?|NAT","package",4
"didnt_manage","high","P?","P?|TRY?|NAT","package",10
"didnt_fail","high","P?","P?|TRY?|NAT","package",7
"didnt_manage","low","TRY?","TRY?|P?|NAT","photo",5
"didnt_fail","low","TRY?","TRY?|P?|NAT","photo",10
"didnt_manage","high","TRY?","TRY?|P?|NAT","photo",7
"didnt_fail","high","TRY?","TRY?|P?|NAT","photo",3
"didnt_manage","low","P?","TRY?|P?|NAT","photo",10
"didnt_fail","low","P?","TRY?|P?|NAT","photo",6
"didnt_manage","high","P?","TRY?|P?|NAT","photo",11
"didnt_fail","high","P?","TRY?|P?|NAT","photo",11
"didnt_manage","low","TRY?","P?|TRY?|NAT","photo",10
"didnt_fail","low","TRY?","P?|TRY?|NAT","photo",5
"didnt_manage","high","TRY?","P?|TRY?|NAT","photo",8
"didnt_fail","high","TRY?","P?|TRY?|NAT","photo",10
"didnt_manage","low","P?","P?|TRY?|NAT","photo",4
"didnt_fail","low","P?","P?|TRY?|NAT","photo",9
"didnt_manage","high","P?","P?|TRY?|NAT","photo",5
"didnt_fail","high","P?","P?|TRY?|NAT","photo",5
