"analysis","(Intercept)","utterancedidnt_manage","utterancefailed","utterancedidnt_fail","utterancedid","utterancedidnt","utterancetried","utterancedidnt_try","priorhigh","qudP?","rating_orderP?|TRY?|NAT"
"prior_effect",0,0,0,0,0,0,0,0,1,0,0
"qud_effect",0,0,0,0,0,0,0,0,0,1,0
"rating_order_effect",0,0,0,0,0,0,0,0,0,0,1
"prior_minus_qud_effect",0,0,0,0,0,0,0,0,1,-1,0
"implicative_boost_all_four_vs_did_and_didnt",0,0.25,0.25,0.25,-0.5,-0.5,0,0,0,0,0
"managed_minus_did",0,0,0,0,-1,0,0,0,0,0,0
"didnt_fail_minus_did",0,0,0,1,-1,0,0,0,0,0,0
"didnt_manage_minus_didnt",0,1,0,0,0,-1,0,0,0,0,0
"failed_minus_didnt",0,0,1,0,0,-1,0,0,0,0,0
"managed_and_didnt_fail_minus_did",0,0,0,0.5,-1,0,0,0,0,0,0
"didnt_manage_and_failed_minus_didnt",0,0.5,0.5,0,0,-1,0,0,0,0,0
"positive_outcome_grouped",0,-0.5,-0.5,0.5,0,0,0,0,0,0,0
"managed_minus_didnt_manage",0,-1,0,0,0,0,0,0,0,0,0
"didnt_fail_minus_failed",0,0,-1,1,0,0,0,0,0,0,0
