"model","family","analysis","direction","estimate","se","df","t","p","ci95_low","ci95_high","significant_05"
"try ~ utterance + prior + qud + rating_order + (1 | item)","contextual_effects","prior_effect","high - low",0.252979315885712,0.0190287934081632,949.015482186987,13.2945537039246,4.14256822833397e-37,0.215635939824556,0.290322691946867,TRUE
"try ~ utterance + prior + qud + rating_order + (1 | item)","contextual_effects","qud_effect","P? - TRY?",0.0122392048028256,0.019075530987042,949.003565635726,0.641618039945503,0.52127615121414,-0.0251958928073033,0.0496743024129545,FALSE
"try ~ utterance + prior + qud + rating_order + (1 | item)","question_order","rating_order_effect","completion-first - TRY-first",-0.00362480358406599,0.0190894598655406,949.251439876812,-0.189885078446317,0.849439781553698,-0.0410872236648767,0.0338376164967447,FALSE
"try ~ utterance + prior + qud + rating_order + (1 | item)","contextual_cue_comparison","prior_minus_qud_effect","(high - low prior) - (P? - TRY? QUD)",0.240740111082886,0.0271770117354794,949.002056554866,8.85822596781682,3.93635482360984e-18,0.187406125789041,0.294074096376731,TRUE
"try ~ utterance + prior + qud + rating_order + (1 | item)","implicative_boost_overall","implicative_boost_all_four_vs_did_and_didnt","mean(managed, didnt_manage, failed, didnt_fail) - mean(did, didnt)",0.0539097236508134,0.0232646566308534,949.025994600131,2.3172370220723,0.0207028488099014,0.0082536071238434,0.0995658401777834,TRUE
"try ~ utterance + prior + qud + rating_order + (1 | item)","implicative_boost_by_pair","managed_minus_did","managed - did",0.048174150475314,0.0379109438281464,949.00000007172,1.27071883764466,0.204140102862002,-0.0262248211953527,0.122573122145981,FALSE
"try ~ utterance + prior + qud + rating_order + (1 | item)","implicative_boost_by_pair","didnt_fail_minus_did","didnt_fail - did",-0.0186978518101171,0.0379118526061889,949.009757362813,-0.493192775471617,0.621990483688351,-0.0930986059507597,0.0557029023305255,FALSE
"try ~ utterance + prior + qud + rating_order + (1 | item)","implicative_boost_by_pair","didnt_manage_minus_didnt","didnt_manage - didnt",0.11085305783691,0.0380711816368885,949.037449906164,2.91173147432598,0.0036784590070903,0.0361396285384566,0.185566487135363,TRUE
"try ~ utterance + prior + qud + rating_order + (1 | item)","implicative_boost_by_pair","failed_minus_didnt","failed - didnt",0.0753095381011471,0.0380691498310988,949.010469802133,1.97823010062669,0.0481916082440172,0.000600093441899222,0.150018982760395,TRUE
"try ~ utterance + prior + qud + rating_order + (1 | item)","implicative_boost_grouped","managed_and_didnt_fail_minus_did","mean(managed, didnt_fail) - did",0.0147381493325984,0.0327868491173549,949.003267744002,0.449514049973078,0.653163520003356,-0.0496049558927552,0.0790812545579521,FALSE
"try ~ utterance + prior + qud + rating_order + (1 | item)","implicative_boost_grouped","didnt_manage_and_failed_minus_didnt","mean(didnt_manage, failed) - didnt",0.0930812979690284,0.0330149393638815,949.029088093072,2.81936904209068,0.00491195874970648,0.0282905754420903,0.157872020495966,TRUE
"try ~ utterance + prior + qud + rating_order + (1 | item)","positive_outcome_contrasts","positive_outcome_grouped","mean(managed, didnt_fail) - mean(didnt_manage, failed)",0.364210725877322,0.0268643454798859,949.004074351244,13.5574018041875,2.10032590752752e-38,0.311490337896169,0.416931113858474,TRUE
"try ~ utterance + prior + qud + rating_order + (1 | item)","positive_outcome_contrasts","managed_minus_didnt_manage","managed - didnt_manage",0.379874967152156,0.037988842062683,949.002526073193,9.99964585720585,1.88625464245582e-22,0.305323123029564,0.454426811274747,TRUE
"try ~ utterance + prior + qud + rating_order + (1 | item)","positive_outcome_contrasts","didnt_fail_minus_failed","didnt_fail - failed",0.348546484602487,0.0379936290828664,949.019665550522,9.17381395292053,2.77479948644632e-19,0.273985247830929,0.423107721374045,TRUE
